timestamp_ms,local_time,heading_deg,speed_ms,speed_src,pos_x_m,pos_y_m,lat,lon,pos_src,adj_pos_x_m,adj_pos_y_m,adj_lat,adj_lon
173273,2026-06-11T14:44:53,140.97,0.173,F,-16716.9,12943.71,47.70517,-122.506653,G,-16716.62,12943.18,47.70517,-122.506653
174353,2026-06-11T14:44:54,161.33,0.255,F,-16716.77,12943.5,47.70517349,-122.50665283,E,-16716.49,12942.84,47.70516701,-122.50665124
175433,2026-06-11T14:44:56,171.3,0.323,F,-16716.75,12943.19,47.70517349,-122.50665283,E,-16716.40,12942.41,47.70516316,-122.50664995
176512,2026-06-11T14:44:57,170.01,0.392,F,-16716.74,12942.8,47.70516968,-122.50665283,E,-16716.27,12941.91,47.70515858,-122.50664830
177591,2026-06-11T14:44:58,169.23,0.45,F,-16716.71,12942.36,47.70516586,-122.50665283,E,-16716.12,12941.33,47.70515340,-122.50664634
178661,2026-06-11T14:44:59,167.22,0.483,F,-16716.62,12941.86,47.70515823,-122.50665283,E,-16715.95,12940.72,47.70514796,-122.50664400
179740,2026-06-11T14:45:00,162.94,0.514,F,-16716.43,12941.34,47.70515442,-122.5066452,E,-16715.72,12940.09,47.70514227,-122.50664091
180747,2026-06-11T14:45:01,162.21,0.536,F,-16716.25,12940.84,47.7051506,-122.5066452,E,-16715.48,12939.48,47.70513678,-122.50663782
181845,2026-06-11T14:45:02,161.31,0.558,F,-16716.04,12940.28,47.70514679,-122.5066452,E,-16715.21,12938.79,47.70513059,-122.50663418
182917,2026-06-11T14:45:03,162.32,0.557,F,-16715.83,12939.74,47.70513916,-122.50663757,E,-16714.96,12938.11,47.70512452,-122.50663078
183996,2026-06-11T14:45:04,160.56,0.576,F,-16715.62,12939.16,47.70513535,-122.50663757,E,-16714.67,12937.42,47.70511829,-122.50662699
185075,2026-06-11T14:45:05,160.23,0.568,F,-16715.4,12938.55,47.70513153,-122.50662994,E,-16714.39,12936.74,47.70511216,-122.50662319
